Molecule ChEMBL ID,Smiles,Standard Value,Standard Units,pIC50
CHEMBL1092787,CN1C(=O)C(c2ccncc2)(c2cccc(-c3cc(F)ccc3F)c2)N=C1N,50.0,nM,7.3
CHEMBL4066885,C[C@@]1(c2cc(CNCC(F)F)c(F)cc2F)CCSC(N)=N1,5890.0,nM,5.23
CHEMBL4091480,Cc1ccc(NCc2cc([C@]3(C)CCSC(N)=N3)c(F)cc2F)nc1,73500.0,nM,4.13
CHEMBL585286,CCCCOc1ccc(C2(C34CC5CC(CC(C5)C3)C4)N=C(N)N(C)C2=O)cc1,870.96,nM,6.06
CHEMBL260834,CC(C)(C)c1cccc(CNC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CN(Cc3cc(F)cc(F)c3)C(=O)N2)c1,430.0,nM,6.37
CHEMBL206442,O=C(Nc1cc(Br)ccc1N1CCN(Cc2ccccc2)CC1)c1cc2ccccc2oc1=O,760.0,nM,6.12
CHEMBL3973828,COC1CCC2(CC1)Oc1ccccc1C21N=C(N)N(C)C1=O,1198.0,nM,5.92
CHEMBL3894131,COC1CCC2(CC1)Cc1ccc(-c3cccc(Cl)c3)cc1C21N=C(N)N(C(C)C)C1=O,53.2,nM,7.27
CHEMBL3894277,COC1CCC2(CC1)Cc1ccc(F)cc1C21N=C(N)N(C)C1=O,79.8,nM,7.1
CHEMBL5192629,NC1=N[C@](CF)(c2cc(-c3cnc(OCF)cn3)ccc2F)CCC1(F)F,8.9,nM,8.05
CHEMBL3922254,COC1CCC2(CC1)Cc1ccc(Br)cc1C21NC(=S)N(C2CCOCC2)C1=O,80.5,nM,7.09
CHEMBL3907602,COC1CCC2(CC1)Cc1ccc(-c3cnc(C)s3)cc1C21N=C(N)N(C)C1=O,14.0,nM,7.85
CHEMBL3656227,COCCN1C(=O)C2(N=C1N)c1cc(Cl)ccc1C[C@]21CC[C@@H](OC)CC1,88.0,nM,7.06
CHEMBL3703307,N#Cc1ncccc1-c1ccc2c(c1)C1(COC(N)=N1)C1(COC1)C1(CCC1)O2,1100.0,nM,5.96
CHEMBL3703244,NC1=NC2(c3cc(Br)ccc3OCC23CC3)c2cccc(F)c21,46900.0,nM,4.33
CHEMBL3703255,CC#Cc1cncc(-c2ccc3c(c2)C2(COC(N)=N2)C2(COC2)CO3)c1,157.0,nM,6.8
CHEMBL3703268,CC#Cc1cncc(-c2ccc3c(c2)C2(CSC(N)=N2)C2(COC2)CO3)c1,345.0,nM,6.46
CHEMBL3650779,CC1(C)Oc2ccc(-c3cc(F)cc(F)c3)cc2C2(COC(N)=N2)C12COC2,621.0,nM,6.21
CHEMBL3650785,CC1(C)Oc2ccc(-c3cc(F)cnc3Cl)cc2C2(COC(N)=N2)C12COC2,1130.0,nM,5.95
CHEMBL3650789,Cc1cc(-c2ccc3c(c2)C2(COC(N)=N2)C2(COC2)C(C)(C)O3)cnc1F,2800.0,nM,5.55
CHEMBL3650809,CC1(C)Oc2ccc(-c3ccc4nonc4c3)cc2C2(COC(N)=N2)C12COC2,1150.0,nM,5.94
CHEMBL3650826,Cc1cc(Cl)cnc1C(=O)Nc1ccc2c(c1)C1(COC(N)=N1)C1(COC1)C(C)(C)O2,109.0,nM,6.96
CHEMBL3650827,N#Cc1ccc(C(=O)Nc2ccc3c(c2)C2(COC(N)=N2)C2(CC2)CO3)nc1,380.0,nM,6.42
CHEMBL3962090,COC1CCC2(CC1)Cc1ccc(N3CCCC3)cc1C21N=C(N)N(C)C1=O,144.7,nM,6.84
CHEMBL3920879,COC1CCC2(CC1)Cc1ccc(OC(F)(F)C(F)F)cc1[C@@]21N=C(N)N(C)C1=O,495.6,nM,6.3
CHEMBL3981217,COC1CCC2(CC1)Cc1ccc(OC(F)F)cc1C21N=C(N)N(C)C1=O,55.4,nM,7.26
CHEMBL3893673,[C-]#[N+]c1ccc2c(c1)[C@@]1(N=C(C)C(N)=N1)[C@@]1(C2)C[C@@H](C)[C@H](O)[C@@H](C)C1,37.0,nM,7.43
CHEMBL3927865,CC#Cc1cncc(-c2ccc3c(c2)[C@@]2(N=C(C)C(N)=N2)[C@@]2(C3)C[C@@H](C)[C@H](OC)[C@@H](C)C2)c1,8.2,nM,8.09
CHEMBL3703233,CC1(C)Oc2ccc(NC(=O)c3ccc(F)cn3)cc2C2(COC(N)=N2)C12COC2,154.0,nM,6.81
CHEMBL4473740,CN(C)C(=O)[C@]12C[C@H]1[C@@](C)(c1cc(NC(=O)c3ccc(Cl)cn3)cc(F)c1F)N=C(N)S2,0.4,nM,9.4
CHEMBL373533,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(I)c2)c1,5.0,nM,8.3
CHEMBL253165,CCCCN(CCCC)S(=O)(=O)CCC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNCc1cccc(OC)c1,130.0,nM,6.89
CHEMBL190644,CCOCCCNC(=O)c1cc(NC(=O)Nc2cccc(Cl)c2)ccc1N(C)C,97.0,nM,7.01
CHEMBL1770312,CC(C)=CCc1c(-c2ccc(O)c3c2OC(C)(C)C=C3)oc2cc(O)cc(O)c2c1=O,5300.0,nM,5.28
CHEMBL566415,CN1C(=O)C(c2cccc(-c3cccnc3)c2)(c2ccc3c(c2)OCO3)N=C1N,250.0,nM,6.6
CHEMBL461660,CS(=O)(=O)Nc1cc(Nc2cc(-c3ccccc3)ncn2)ccc1Cl,16000.0,nM,4.8
CHEMBL511187,CS(=O)(=O)Nc1cc(Nc2cc(-c3ccccc3)ncn2)ccc1Br,30000.0,nM,4.52
CHEMBL5184228,C[C@@]1(c2cc(-c3cc4c(cn3)OC(F)(F)O4)ccc2F)CC[C@@](C)(S(=O)(=O)C(F)(F)F)C(N)=N1,5.9,nM,8.23
