Molecule ChEMBL ID,Smiles,Standard Value,Standard Units,pIC50
CHEMBL1210364,CCS(=O)(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)cc(N(c2ccccc2)S(C)(=O)=O)c1,14.0,nM,7.85
CHEMBL566406,CCOc1cc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)ccc1OC,50.0,nM,7.3
CHEMBL584917,CN1C(=O)C(c2cccc(-c3cccnc3)c2)(c2ccc3c(c2)OCCO3)N=C1N,90.0,nM,7.05
CHEMBL565995,COc1ccc(C2(c3ccc(C)c(-c4cccnc4)c3)N=C(N)N(C)C2=O)cc1C,130.0,nM,6.89
CHEMBL584695,COc1ccc([C@]2(c3ccc(F)c(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cc1C,560.0,nM,6.25
CHEMBL1760853,Cc1cccc(Cc2cc(C[C@@H]3CS(=O)(=O)C[C@H](NCc4cccc(C(C)C)c4)[C@H]3O)ccc2O)c1,6200.0,nM,5.21
CHEMBL2158255,CC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC1CC(C)(C)Cc2[nH]c(CC(C)(C)C)nc21,230.0,nM,6.64
CHEMBL4793365,FC(F)(F)Oc1ccc(-c2nnc(N3CCN(c4ccccn4)CC3)o2)cc1,822.0,nM,6.08
CHEMBL2349606,CN1C(=O)C2(CC(C)(C)Oc3ccc(-c4cncc(F)c4)cc32)N=C1N,145.0,nM,6.84
CHEMBL2314793,O=C(N[C@@H](C(=O)Nc1cc(C(O)CNCc2ccccc2)ccc1C(=O)c1ccccc1)c1ccccc1)OCc1ccccc1,2600.0,nM,5.58
CHEMBL493984,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC)cc13)N(C)S(=O)(=O)CC2.O=CO,15.0,nM,7.82
CHEMBL448945,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNCc4ccccc4)cc13)N(C)S(=O)(=O)CC2.O=CO,34.0,nM,7.47
CHEMBL493637,CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)cc(N2CCCCS2(=O)=O)c1.O=CO,1262.0,nM,5.9
CHEMBL256679,CCCCCN1C[C@@H](C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCc3ccccc3)CN2)[C@H](CC(C)C)C1=O,365.0,nM,6.44
CHEMBL402373,O=C(N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1C[C@@H](OCc2ccccc2)CN1)[C@H]1CC(=O)N(Cc2ccc(C(F)(F)F)cc2)C1,46000.0,nM,4.34
CHEMBL402070,O=C(N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1C[C@@H](OCc2ccccc2)CN1)[C@H]1CC(=O)N(CC2CC2)C1,155.0,nM,6.81
CHEMBL411917,CC(C)c1cccc(CNC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CN(Cc3cc(F)cc(F)c3)C(=O)N2)c1,580.0,nM,6.24
CHEMBL461606,CCCCNC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)CCC(C)C,1400.0,nM,5.85
CHEMBL4532096,Clc1ccc2nc(-c3cccc(N4CCc5ccccc5C4)n3)[nH]c2c1,1800.0,nM,5.75
CHEMBL3974459,NC1=NC2(CCO1)c1cc(NC(=O)c3ccc(Cl)cn3)ccc1Oc1cnc(Cl)cc12,38.6,nM,7.41
CHEMBL584267,COc1ccc(C2(c3cccc(-c4cccnc4F)c3)N=C(N)N3CCCN=C32)cc1,70.0,nM,7.16
CHEMBL584521,NC1=NC(c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cncnc3)c2)C2=NCCCN12,100.0,nM,7.0
CHEMBL2181903,COCC(=O)N[C@@H](Cc1cc(-c2nccs2)ccc1F)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,18.0,nM,7.75
CHEMBL2181901,COCC(=O)N[C@@H](Cc1ccc(F)c(-c2nccs2)c1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,6.1,nM,8.21
CHEMBL2181893,COCC(=O)N[C@@H](Cc1cccc(-c2cncs2)c1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,5.2,nM,8.28
CHEMBL2181907,C#Cc1ccc(F)c(C[C@H](NC(=O)COC)[C@H](O)CN[C@H]2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)c1,11.0,nM,7.96
CHEMBL2181910,CCOCC(=O)N[C@@H](Cc1cccc(-c2nccs2)c1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,5.7,nM,8.24
CHEMBL2180032,CC1=N[C@@](Cc2ccccc2)(c2cccc(-c3cncnc3)c2)N=C1N,710.0,nM,6.15
CHEMBL2180030,COc1c(C)cc([C@@]2(c3cccc(-c4cncnc4)c3)N=C(C)C(N)=N2)cc1C,24.0,nM,7.62
CHEMBL2180025,COc1ccc(C2(c3cccc(-c4cncnc4)c3)N=C(C)C(N)=N2)cc1,1300.0,nM,5.89
CHEMBL2180023,COc1cccc(-c2cccc(C3(c4ccncc4)N=C(C)C(N)=N3)c2)c1,2800.0,nM,5.55
CHEMBL2180019,CC1=NC(C)(c2cccc(-c3cccnc3)c2)N=C1N,4300.0,nM,5.37
CHEMBL3672943,[C-]#[N+]c1ccc(C(=O)Nc2ccc(F)c([C@]34COC[C@@]3(F)CSC(N)=N4)c2)nc1,6.66,nM,8.18
CHEMBL2181984,O=C(OC1CCS(=O)(=O)c2ccc(Br)cc21)[C@H]1C[C@]2(CN1)C(=O)Nc1ccccc12,1000.0,nM,6.0
CHEMBL2019043,Cl.O=C(NCCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2)c1cc(=O)c2cc(O)ccc2o1,2800.0,nM,5.55
CHEMBL2019046,COc1cc(O)c2c(=O)cc(C(=O)NCCCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)oc2c1.Cl,2900.0,nM,5.54
CHEMBL2019053,Cl.O=C(NCCCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1cc(=O)c2cc(O)c(O)cc2o1,13600.0,nM,4.87
CHEMBL2019055,CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)CC(=O)O)C(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,33.0,nM,7.48
CHEMBL4227313,COc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)O[C@H](CF)[C@@H]3F)c2)cn1,1.6,nM,8.8
CHEMBL247415,CCCC[C@H](N)[C@H](Cc1ccccc1)NC(=O)c1cc(NCC2CC2C)nc(N(C)S(C)(=O)=O)c1,110.0,nM,6.96
CHEMBL402305,CCCCCS(=O)(=O)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN[C@@H](C)C(=O)NC2CCCCC2)c1,1800.0,nM,5.75
CHEMBL557127,CC(C)[C@H](NC(=O)CCC(O)(CCc1ccccc1)C(=O)Nc1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)C(=O)NCc1ccccc1,5600.0,nM,5.25
CHEMBL2151181,CC#Cc1cncc(-c2cc(Cl)c([C@]3(C)CC(=O)N(C)C(=N)N3)s2)c1,11.0,nM,7.96
CHEMBL2151135,CN1C(=N)N[C@](C)(c2cccc(-c3cccnc3)c2)CC1=O,460.0,nM,6.34
CHEMBL116826,CCC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(C)=O)[C@@H](O)CC(=O)NC(CC[S+](C)[O-])[C@@H](O)CC(=O)N[C@H](C(=O)NCc1ccc(C(=O)O)cc1)C(C)C,34000.0,nM,4.47
CHEMBL51304,CC(C)CC(NC(=O)C(O)c1ccccc1Br)[C@@H](O)CC(=O)N[C@@H](C(=O)N[C@H](C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](Cc1ccccc1)C(=O)O)C(C)C,3000.0,nM,5.52
CHEMBL1082548,C[C@@H](NC(=O)c1cc(COC(=O)C(C)(N)Cc2ccccc2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,19.0,nM,7.72
CHEMBL1271343,CN1C(=O)[C@](c2ccccc2)(c2ccc(OC(F)F)cc2)N=C1N,170.0,nM,6.77
CHEMBL1270528,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(/C(F)=C/C3CC3)c2)N=C1N,540.0,nM,6.27
CHEMBL1270628,COC/C=C/c1cccc([C@@]2(c3ccc(OC(F)F)cc3)N=C(N)N(C)C2=O)c1,20.0,nM,7.7
CHEMBL1270136,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(OCCC(F)(F)F)c2)N=C1N,200.0,nM,6.7
CHEMBL1270435,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(OCCC(F)F)c2)N=C1N,10.0,nM,8.0
CHEMBL1270335,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2ccc(F)c(C#CC3CC3)c2)N=C1N,20.0,nM,7.7
CHEMBL572773,CO[C@@H](COCc1ccccc1)C[C@H](O)[C@H](COc1cc(F)cc(F)c1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1,240.0,nM,6.62
CHEMBL583304,CCc1cn2c3c(ccc(C(=O)N[C@@H](COc4cc(F)cc(F)c4)[C@@H](O)C[C@H](COCc4ccc(OC)cc4)OC)c13)N(C)S(=O)(=O)CC2,1500.0,nM,5.82
CHEMBL566632,CN1C(=O)[C@](c2ccc(OC(F)(F)F)cc2)(c2ccc(F)c(-c3cncnc3)c2)N=C1N,1390.0,nM,5.86
CHEMBL1097321,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2CN(S(=O)(=O)c3cccc(C)c3)CCN2)c1,48.0,nM,7.32
CHEMBL1097351,COC[C@H]1CCCN1C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2CN(S(=O)(=O)c3ccc(Cl)s3)CCN2)c1,68.0,nM,7.17
CHEMBL1097354,COC[C@H]1CCCN1C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2CN(S(=O)(=O)C3CC3)CCN2)c1,100.0,nM,7.0
CHEMBL1087579,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2CNCCN2)c1,490.0,nM,6.31
CHEMBL4208552,CC1=C[C@@](CF)(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)O1,17.0,nM,7.77
CHEMBL3301601,CN1C(N)=N[C@](C)(c2cc(NC(=O)c3ccc(F)cn3)ccc2F)CS1(=O)=O,0.4,nM,9.4
CHEMBL237282,CCCOc1ccc(-c2scc(-c3ccccc3Cl)c2CC(=O)/N=C(/N)NCCCO)cc1C,1540.0,nM,5.81
CHEMBL4208775,O=S(=O)(c1ccc(Cl)cc1)N(CC(O)Cn1c2ccccc2c2ccccc21)c1ccccc1,2900.0,nM,5.54
CHEMBL5768695,CC#Cc1cncc(-c2ccc(F)c([C@]3(C)CC4(CCC4)OC(N)=N3)c2)c1,3510.0,nM,5.46
CHEMBL48843,COC(=O)CCCCC(=O)NC(CC(C)C)[C@@H](O)CC(=O)N[C@@H](C(=O)N[C@H](C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](Cc1ccccc1)C(=O)O)C(C)C,50000.0,nM,4.3
CHEMBL3670359,Cc1cc(C#N)cnc1C(=O)Nc1cc([C@@]2(C)CO[C@@](C)(C(F)(F)F)C(N)=N2)c(F)cn1,7600.0,nM,5.12
CHEMBL3261068,Cc1cc(C#N)cnc1C(=O)Nc1cc([C@]2(C)CO[C@@](C)(C(F)(F)F)C(N)=N2)c(F)cn1,82.0,nM,7.09
CHEMBL3670371,C[C@@]1(c2nc(NC(=O)c3ncc(OC(F)F)cc3Cl)ccc2F)CO[C@@](C)(C(F)(F)F)C(N)=N1,25.0,nM,7.6
CHEMBL3955255,C[C@@]1(c2cc(NC(=O)c3cnc(OCc4ncco4)cn3)cc(F)c2F)C[C@@H](C(F)(F)F)OC(N)=N1,3.0,nM,8.52
CHEMBL3979143,C#CCOc1cnc(C(=O)Nc2cc(Cl)c(F)c([C@]3(C)C[C@@H](C(F)(F)F)OC(N)=N3)c2)cn1,1.0,nM,9.0
CHEMBL3955707,COc1cnc(C(=O)Nc2cc(F)c(Cl)c([C@]3(C)C[C@@H](C(F)(F)F)OC(N)=N3)c2)cn1,13.0,nM,7.89
CHEMBL3915375,[C-]#[N+]c1ccc2c(c1)[C@@]1(N=C(C)C(N)=N1)[C@]1(CC[C@H](OC)[C@@H](C)C1)C2,1.5,nM,8.82
CHEMBL3899867,CO[C@H]1[C@H](C)C[C@@]2(Cc3ccc(-c4cncc(F)c4)cc3[C@@]23N=C(C)C(N)=N3)C[C@@H]1C,1.5,nM,8.82
CHEMBL3978126,CCO[C@H]1CC[C@]2(CC1)Cc1ccc(-c3cccc(OC)c3)cc1C21N=C(N)N(C)C1=O,15.0,nM,7.82
CHEMBL1824343,CCC(CC)Cn1cc(C2(c3cccc(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cn1,20.0,nM,7.7
CHEMBL3265332,NC1=N[C@@]2(CO1)c1cc(-c3cncc(F)c3)ccc1O[C@@H]1COCC[C@H]12,90.0,nM,7.05
CHEMBL4788256,COC[C@]12C[C@H]1[C@@](CF)(c1cc(/C=C/c3ccc(Cl)cn3)ccc1F)N=C(N)S2,940.0,nM,6.03
CHEMBL3287407,COc1cc2c(c(O)c1C)C(=O)[C@@]1(O)c3cccc(OC)c3OC[C@@H]1O2,62210.0,nM,4.21
CHEMBL3287409,COc1cc2oc3c(c(=O)c2c(O)c1C)-c1ccc(O)cc1OC3O,4240.0,nM,5.37
CHEMBL3357661,C[C@]12CCCO[C@@H]1[C@]1(COC(N)=N1)c1cc(-c3cccnc3F)ccc1O2,76.0,nM,7.12
CHEMBL3357660,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1O[C@@H]1CCCO[C@H]12,1100.0,nM,5.96
CHEMBL3357656,CN1C(=O)[C@]2(N=C1N)c1cc(-c3cccnc3F)ccc1O[C@H]1CCCO[C@@H]12,48.0,nM,7.32
CHEMBL3683802,COCc1cc(Cl)cnc1C(=O)Nc1ccc(F)c([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1,27.7,nM,7.56
CHEMBL3688735,NC1=N[C@@](c2cc(NC(=O)c3ccc(OC(F)F)cn3)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,37.7,nM,7.42
CHEMBL3688738,Cc1nc(OCC(F)(F)F)cnc1C(=O)Nc1cc(F)c(Cl)c([C@@]2(CF)N=C(N)O[C@@H]3C[C@@H]32)c1,93.6,nM,7.03
CHEMBL3688788,NC1=N[C@@](c2cc(Nc3nccc4nc(C(F)(F)F)cnc34)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,204.5,nM,6.69
CHEMBL3688676,Cn1cc(C(=O)Nc2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)ccc1=O,40486.0,nM,4.39
CHEMBL3688690,NC1=N[C@@](c2cc(NC(=O)C#Cc3ccccc3)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,245.5,nM,6.61
CHEMBL3688697,NC1=N[C@@](CF)(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2Cl)[C@@H]2C[C@@H]2O1,24087.0,nM,4.62
CHEMBL3653657,CC1=NC2(CCOc3ccc(-c4cc(Cl)cc(Cl)c4)cc32)N=C1N,157.0,nM,6.8
CHEMBL3657455,CC1=NC2(CCOc3ccc(-c4cc(C)ccc4C)cc32)N=C1N,6710.0,nM,5.17
CHEMBL3653701,CC1=NC2(CC(C3CCCOC3)Oc3ccc(Br)cc32)N=C1N,8100.0,nM,5.09
CHEMBL3653715,CC1=NC2(N=C1N)c1cc(C#CC3CC3)ccc1CC21CCC1,523.0,nM,6.28
CHEMBL3657436,CC1=NC2(N=C1N)c1cc(-c3cc(F)cc(C#N)c3)ccc1CC21CCC(=O)CC1,632.0,nM,6.2
CHEMBL3394227,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1c2cc(N2CC[C@@H](F)C2)nc1F,0.2,nM,9.7
CHEMBL3394049,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1cnc(N3CCC(F)(F)C3)cc12,0.6,nM,9.22
CHEMBL3394058,NC1=N[C@]2(CO1)c1cc(C3=CCOCC3)ccc1Oc1ccc(-c3cccnc3F)cc12,2.6,nM,8.59
CHEMBL3394052,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1cnc(-c3ccccc3)cc12,25.3,nM,7.6
CHEMBL378052,O=C(Nc1cc(-c2ccccc2)ccc1N1CCN(CC[C@H](O)c2ccccc2)CC1)c1cccc2ccccc12,69.0,nM,7.16
CHEMBL2178161,COc1ccc(-c2nsc(C)c2C(=O)/N=C(\N)NCc2cc(C)c(NC(=O)CNCc3ccccc3)c(Cl)c2)cc1,70.0,nM,7.16
CHEMBL2178188,COc1ccc(-c2noc(C)c2C(=O)/N=C(\N)NCc2cc(Cl)c(NC(=O)C3CC3)c(Cl)c2)cc1,1600.0,nM,5.8
CHEMBL2178186,COc1ccc(-c2noc(C)c2C(=O)/N=C(\N)NCc2cc(C)c(NC(=O)CCSC)c(Cl)c2)cc1,640.0,nM,6.19
CHEMBL3705029,NC1=N[C@@]2(c3ccc(F)s3)CN(c3ncccn3)C[C@H]2CS1,166.0,nM,6.78
CHEMBL3642636,COCc1cc(NC(=O)c2ccc(OC(F)(F)F)cc2)cc(C2(C)CCSC(N)=N2)c1,3642.0,nM,5.44
CHEMBL3645163,CC1(c2cc(Cl)cc(NC(=O)c3ccc(Br)cc3)c2)CCSC(N)=N1,165.0,nM,6.78
CHEMBL3670386,C[C@@]1(c2nc(NC(=O)c3nc4ccn(CC(F)F)c4nc3N)ccc2F)CO[C@@](C)(C(F)(F)F)C(N)=N1,10000.0,nM,5.0
CHEMBL389831,CC(C)C[C@H](NC(=O)[C@@H](N)CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](CC(C)C)P(=O)(O)CC(C)C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(C)C,2020.0,nM,5.7
CHEMBL502121,CCCN1CC(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@@H]2NCCN(Cc3ccccc3)C2=O)CN(CCC)C1=O,22.0,nM,7.66
CHEMBL491660,CCCN1CC(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@@H]2NCCN(Cc3ccccc3)C2=O)N(CC)C1=O,9.0,nM,8.05
CHEMBL522803,CCCCN1CC(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@@H]2NCN(Cc3ccccc3)C2=O)[C@@H](CC)C1=O,88.0,nM,7.06
CHEMBL485319,CCCN1CC(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@@H]2NCN(Cc3ccccc3)C2=O)CC1=O,11000.0,nM,4.96
CHEMBL558938,CO/N=C(/C)c1cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)cc(C(=O)N[C@H](C)c2ccccc2)c1,32.0,nM,7.5
CHEMBL555518,C=CCO/N=C(/C)c1cc(C(=O)NC(C)c2ccc(F)cc2)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc2cccc(OC)c2)c1,168.0,nM,6.78
CHEMBL555520,COc1cccc(CNC[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)c2cc(/C(C)=N\OCC(C)C)cc(N3CCCCS3(=O)=O)c2)c1,428.0,nM,6.37
CHEMBL3683917,NC1=N[C@@](c2cc(NC(=O)c3cnc(OCc4cnco4)cn3)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,81.1,nM,7.09
CHEMBL255977,CC(C)Oc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN[C@@H](C)C(=O)NC2CCCCC2)cc(N2CCCC2=O)c1,1180.0,nM,5.93
CHEMBL3658614,COc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)CCOC(N)=N3)c2)cn1,240.0,nM,6.62
CHEMBL297453,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,1600.0,nM,5.8
CHEMBL126142,O=C(O[C@H]1Cc2c(O)cc(O)cc2O[C@H]1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1,2400.0,nM,5.62
CHEMBL3688719,Cc1ccc(NC(=O)c2ccc(Cl)cn2)cc1[C@@]1(C(F)F)N=C(N)O[C@@H]2C[C@@H]21,90.3,nM,7.04
CHEMBL3656276,COCCCOc1ccc2c(c1)C1(N=C(N)N(CC(F)F)C1=O)[C@]1(CC[C@H](OC)CC1)C2,6.2,nM,8.21
CHEMBL2381678,COc1cncc(-c2cccc([C@@H]3C[C@@H]3c3cc(=O)n(C)c(N)n3)c2)n1,84900.0,nM,4.07
CHEMBL2381580,CSc1cccc(-c2cccc([C@@H]3C[C@@H]3c3cc(=O)n(C)c(N)n3)c2)c1,47500.0,nM,4.32
CHEMBL567653,NC1=NC(c2ccccc2)(c2cccc(Cc3ccc(F)cc3)c2)C2=NCCCN12,8200.0,nM,5.09
CHEMBL4226730,C[C@]1(c2cc(NC(=O)c3cnc(C(F)F)cn3)ccc2F)N=C(N)O[C@H](CF)[C@@H]1F,27.4,nM,7.56
CHEMBL2380440,CC1(c2cccc(-c3cncnc3)c2)N=C(N)c2c(F)cccc2O1,5000.0,nM,5.3
CHEMBL2380449,COc1cccc(-c2cccc(C3(C)CCSC(N)=N3)c2)c1,400.0,nM,6.4
CHEMBL2381576,COc1cccc(CCc2cccc([C@@H]3C[C@@H]3c3cc(=O)n(C)c(N)n3)c2)c1,100000.0,nM,4.0
CHEMBL3672398,Cc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)cc2)ccc1O,720.0,nM,6.14
CHEMBL3672407,COc1ccc2ccccc2c1/C=C/C(=O)CC(=O)/C=C/c1ccc(O)cc1,1600.0,nM,5.8
CHEMBL3672422,O=C(/C=C/c1ccc(O)cc1)CC(=O)/C=C/c1ccc2cc[nH]c2c1,800.0,nM,6.1
CHEMBL3672423,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(N(C)C)cc2[N+](=O)[O-])ccc1O,1500.0,nM,5.82
CHEMBL3953730,C#CCOc1ccc(C(=O)Nc2cc(F)c(F)c([C@]3(CF)C[C@@H](C(F)(F)F)OC(N)=N3)c2)nc1,13.0,nM,7.89
CHEMBL3944783,COc1cc(C#N)cnc1C(=O)Nc1cc(F)c(F)c([C@]2(C)C[C@@H](C(F)(F)F)OC(N)=N2)c1,51.0,nM,7.29
CHEMBL3677274,Cc1ccc(-c2cc(F)c3c(c2)[C@]2(N=C(N)n4ccnc42)c2cc(-c4cccnc4F)ccc2O3)cc1,114.0,nM,6.94
CHEMBL4109073,NC1=N[C@@]2(c3cc(-c4cccnc4F)ccc3Oc3c(F)cc([N+]4=CCOCC4)cc32)c2nccn21,0.6,nM,9.22
CHEMBL3918452,CC(C)(C)OC(=O)N(C(=O)c1ccccc1)C1=N[C@](CF)(c2cc(Br)cnc2F)C[C@@H](C(F)(F)F)O1,429.0,nM,6.37
CHEMBL3942544,Cc1cc(NC(=O)c2ccc(C(F)F)cn2)cc([C@]2(CF)C[C@@H](C(F)(F)F)OC(N)=N2)c1F,33.0,nM,7.48
CHEMBL4109797,CN(C)/N=C(/C[C@](CF)(N[S@+]([O-])C(C)(C)C)c1cccc(Br)c1)C(F)(F)F,24.0,nM,7.62
CHEMBL3688819,N#Cc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)c(C(F)F)c1,14.4,nM,7.84
CHEMBL3688736,C#Cc1ccc(C(=O)Nc2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)nc1,24.8,nM,7.61
CHEMBL521845,Cc1ccccc1-c1cccc(CN2CCC3(CC2)C(NC2CCCCC2)=NC(=O)N3c2cccc(F)c2)c1,110.0,nM,6.96
CHEMBL495087,CC(=O)Nc1ccc(CN2CCC3(CC2)C(NC2CCCCC2)=NC(=O)N3c2cccc(F)c2)cc1,8200.0,nM,5.09
CHEMBL556529,COC(=O)c1ccc(NC(=O)[C@@H](NC(=O)CCC(O)(Cc2ccccc2)C(=O)Nc2cc(C(=O)N[C@H](C)c3ccc(F)cc3)cc(N(C)S(C)(=O)=O)c2)C(C)C)cc1,4000.0,nM,5.4
CHEMBL540414,CC(C)[C@H](NC(=O)C(O)(CCC(=O)Nc1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)CCc1ccccc1)C(=O)Nc1ccccc1,230.0,nM,6.64
CHEMBL5992892,CN(C(=O)OC(C)(C)C)c1cnc(C(=O)Nc2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)nc1,473.0,nM,6.33
CHEMBL3680861,C[C@]1(c2cc(NC(=O)c3ncc(C(F)(F)F)cc3Cl)ccc2F)N=C(N)OC[C@@H]1F,2.0,nM,8.7
CHEMBL448592,CCn1ncc2c(N3CCCC3=O)cc(C(=O)N[C@@H](Cc3ccccc3)[C@H](O)CNCc3cccc(C(F)(F)F)c3)cc21,28.0,nM,7.55
CHEMBL507330,CCCN(CCC)C(=O)c1cc(C)cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@@H]2NCCN(CC(C)C)C2=O)c1,2000.0,nM,5.7
CHEMBL1084153,CCCCNC(=O)[C@H](C)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCC[C@H](C2(NC(C)=O)CCCC2)C1,2700.0,nM,5.57
CHEMBL3707004,CCN1CCN2CCS(=O)(=O)N(C)c3cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)CNC4CC4)cc1c32,550.0,nM,6.26
CHEMBL3604697,CCC[C@H](NC[C@@H](O)[C@H](Cc1cccs1)NC(=O)[C@H](Cc1cccs1)NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(=O)O)[C@@H](C)CC)C(=O)O,9400.0,nM,5.03
CHEMBL4852055,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CCC(=O)O)C(=O)N[C@@H](Cc1cccs1)C(=O)N[C@@H](CC(C)C)[C@H](O)CNc1ccc(C)cc1,4000.0,nM,5.4
CHEMBL3683821,N#Cc1cnc(C(=O)Nc2ccc(F)c([C@]3(C(F)F)N=C(N)O[C@H]4C[C@H]43)c2)c(Cl)c1,26.6,nM,7.58
CHEMBL4279064,NC1=N[C@@]2(CO1)c1cc(NC(=O)c3ccc(Cl)cn3)ccc1Oc1cnc(C3CC3)cc12,3.6,nM,8.44
